t,mem_fmt,mem_addr,gpr_fmt,gpr_addr,optype
0,00,0000000000000000000000000000,00,00000000,00
1,00,0000000000000000000000000000,00,00000000,00
2,00,0000000000000000000000000000,00,00000000,00
3,00,0000000000000000000000000000,00,00000000,00
4,00,0000000000000000000000000000,00,00000000,00
5,00,0000000000000000000000000000,00,00000000,00
6,00,0000000000000000000000000000,00,00000000,00
7,00,0000000000000000000000000000,00,00000000,00
8,00,0000000000000000000000000000,00,00000000,00
9,00,0000000000000000000000000000,00,00000000,00
10,00,0000000000000000000000000000,00,00000000,00
11,00,0000000000000000000000000000,00,00000000,00
12,00,0000000000000000000000000000,00,00000000,00
13,00,0000000000000000000000000000,00,00000000,00
14,00,0000000000000000000000000000,00,00000000,00
15,00,0000000000000000000000000000,00,00000000,00
16,00,0000000000000000000000000000,00,00000000,00
17,00,0000000000000000000000000000,00,00000000,00
18,00,0000000000000000000000000000,00,00000000,00
19,00,0000000000000000000000000000,00,00000000,00
20,00,0000000000000000000000000000,00,00000000,00
21,00,0000000000000000000000000000,00,00000000,00
22,00,0000000000000000000000000000,00,00000000,00
23,00,0000000000000000000000000000,00,00000000,00
24,00,0000000000000000000000000000,00,00000000,00
25,00,0000000000000000000000000000,00,00000000,00
26,00,0000000000000000000000000000,00,00000000,00
27,00,0000000000000000000000000000,00,00000000,00
28,00,0000000000000000000000000000,00,00000000,00
29,00,0000000000000000000000000000,00,00000000,00
30,00,0000000000000000000000000000,00,00000000,00
31,00,0000000000000000000000000000,00,00000000,00
32,00,0000000000000000000000000000,00,00000000,00
33,00,0000000000000000000000000000,00,00000000,00
34,00,0000000000000000000000000000,00,00000000,00
35,00,0000000000000000000000000000,00,00000000,00
36,00,0000000000000000000000000000,00,00000000,00
37,00,0000000000000000000000000000,00,00000000,00
38,00,0000000000000000000000000000,00,00000000,00
39,00,0000000000000000000000000000,00,00000000,00
40,00,0000000000000000000000000000,00,00000000,00
41,00,0000000000000000000000000000,00,00000000,00
42,00,0000000000000000000000000000,00,00000000,00
43,00,0000000000000000000000000000,00,00000000,00
44,00,0000000000000000000000000000,00,00000000,00
45,00,0000000000000000000000000000,00,00000000,00
46,00,0000000000000000000000000000,00,00000000,00
47,00,0000000000000000000000000000,00,00000000,00
48,00,0000000000000000000000000000,00,00000000,00
49,00,0000000000000000000000000000,00,00000000,00
50,00,0000000000000000000000000000,00,00000000,00
51,00,0000000000000000000000000000,00,00000000,00
52,00,0000000000000000000000000000,00,00000000,00
53,00,0000000000000000000000000000,00,00000000,00
54,00,0000000000000000000000000000,00,00000000,00
55,00,0000000000000000000000000000,00,00000000,00
56,00,0000000000000000000000000000,00,00000000,00
57,00,0000000000000000000000000000,00,00000000,00
58,00,0000000000000000000000000000,00,00000000,00
59,00,0000000000000000000000000000,00,00000000,00
60,00,0000000000000000000000000000,00,00000000,00
61,00,0000000000000000000000000000,00,00000000,00
62,00,0000000000000000000000000000,00,00000000,00
63,00,0000000000000000000000000000,00,00000000,00
64,00,0000000000000000000000000000,00,00000000,00
65,00,0000000000000000000000000000,00,00000000,00
66,00,0000000000000000000000000000,00,00000000,00
67,00,0000000000000000000000000000,00,00000000,00
68,00,0000000000000000000000000000,00,00000000,00
69,00,0000000000000000000000000000,00,00000000,00
70,00,0000000000000000000000000000,00,00000000,00
71,00,0000000000000000000000000000,00,00000000,00
72,00,0000000000000000000000000000,00,00000000,00
73,00,0000000000000000000000000000,00,00000000,00
74,00,0000000000000000000000000000,00,00000000,00
75,00,0000000000000000000000000000,00,00000000,00
76,00,0000000000000000000000000000,00,00000000,00
77,00,0000000000000000000000000000,00,00000000,00
78,00,0000000000000000000000000000,00,00000000,00
79,00,0000000000000000000000000000,00,00000000,00
80,00,0000000000000000000000000000,00,00000000,00
81,00,0000000000000000000000000000,00,00000000,00
82,00,0000000000000000000000000000,00,00000000,00
83,00,0000000000000000000000000000,00,00000000,00
84,00,0000000000000000000000000000,00,00000000,00
85,00,0000000000000000000000000000,00,00000000,00
86,00,0000000000000000000000000000,00,00000000,00
87,00,0000000000000000000000000000,00,00000000,00
88,00,0000000000000000000000000000,00,00000000,00
89,00,0000000000000000000000000000,00,00000000,00
90,00,0000000000000000000000000000,00,00000000,00
91,00,0000000000000000000000000000,00,00000000,00
92,00,0000000000000000000000000000,00,00000000,00
93,00,0000000000000000000000000000,00,00000000,00
94,00,0000000000000000000000000000,00,00000000,00
95,00,0000000000000000000000000000,00,00000000,00
96,00,0000000000000000000000000000,00,00000000,00
97,00,0000000000000000000000000000,00,00000000,00
98,00,0000000000000000000000000000,00,00000000,00
99,00,0000000000000000000000000000,00,00000000,00
100,00,0000000000000000000000000000,00,00000000,00
101,00,0000000000000000000000000000,00,00000000,00
102,00,0000000000000000000000000000,00,00000000,00
103,00,0000000000000000000000000000,00,00000000,00
104,00,0000000000000000000000000000,00,00000000,00
105,00,0000000000000000000000000000,00,00000000,00
106,00,0000000000000000000000000000,00,00000000,00
107,00,0000000000000000000000000000,00,00000000,00
108,00,0000000000000000000000000000,00,00000000,00
109,00,0000000000000000000000000000,00,00000000,00
110,00,0000000000000000000000000000,00,00000000,00
111,00,0000000000000000000000000000,00,00000000,00
112,00,0000000000000000000000000000,00,00000110,11
113,00,0000000000000000000000000000,00,00000000,00
114,00,0000000000000000000000000001,00,00000111,11
115,00,0000000000000000000000000000,00,00000000,00
116,00,0000000000000000000000000000,00,00000000,00
117,00,0000000000000000000000000000,00,00000000,00
118,00,0000000000000000000000000000,00,00000000,00
119,00,0000000000000000000000000000,00,00000000,00
120,00,0000000000000000000000000000,00,00000000,00
121,00,0000000000000000000000000000,00,00000000,00
122,00,0000000000000000000000000000,00,00000000,00
123,00,0000000000000000000000000000,00,00000000,00
124,00,0000000000000000000000000000,00,00000000,00
125,00,0000000000000000000000000000,00,00000000,00
126,00,0000000000000000000000000000,00,00000000,00
127,00,0000000000000000000000000000,00,00000000,00
128,00,0000000000000000000000000010,00,00001110,11
129,00,0000000000000000000000000000,00,00000000,00
130,00,0000000000000000000000000011,00,00001111,11
131,00,0000000000000000000000000000,00,00000000,00
132,00,0000000000000000000000000000,00,00000000,00
133,00,0000000000000000000000000000,00,00000000,00
134,00,0000000000000000000000000000,00,00000000,00
135,00,0000000000000000000000000000,00,00000000,00
136,00,0000000000000000000000000000,00,00000000,00
137,00,0000000000000000000000000000,00,00000000,00
138,00,0000000000000000000000000000,00,00000000,00
139,00,0000000000000000000000000000,00,00000000,00
140,00,0000000000000000000000000000,00,00000000,00
141,00,0000000000000000000000000000,00,00000000,00
142,00,0000000000000000000000000000,00,00000000,00
143,00,0000000000000000000000000000,00,00000000,00
144,00,0000000000000000000000000100,00,00010110,11
145,00,0000000000000000000000000000,00,00000000,00
146,00,0000000000000000000000000101,00,00010111,11
147,00,0000000000000000000000000000,00,00000000,00
148,00,0000000000000000000000000000,00,00000000,00
149,00,0000000000000000000000000000,00,00000000,00
150,00,0000000000000000000000000000,00,00000000,00
151,00,0000000000000000000000000000,00,00000000,00
152,00,0000000000000000000000000000,00,00000000,00
153,00,0000000000000000000000000000,00,00000000,00
154,00,0000000000000000000000000000,00,00000000,00
155,00,0000000000000000000000000000,00,00000000,00
156,00,0000000000000000000000000000,00,00000000,00
157,00,0000000000000000000000000000,00,00000000,00
158,00,0000000000000000000000000000,00,00000000,00
159,00,0000000000000000000000000000,00,00000000,00
160,00,0000000000000000000000000110,00,00011110,11
161,00,0000000000000000000000000000,00,00000000,00
162,00,0000000000000000000000000111,00,00011111,11
163,00,0000000000000000000000000000,00,00000000,00
164,00,0000000000000000000000000000,00,00000000,00
165,00,0000000000000000000000000000,00,00000000,00
166,00,0000000000000000000000000000,00,00000000,00
167,00,0000000000000000000000000000,00,00000000,00
168,00,0000000000000000000000000000,00,00000000,00
169,00,0000000000000000000000000000,00,00000000,00
170,00,0000000000000000000000000000,00,00000000,00
171,00,0000000000000000000000000000,00,00000000,00
172,00,0000000000000000000000000000,00,00000000,00
173,00,0000000000000000000000000000,00,00000000,00
174,00,0000000000000000000000000000,00,00000000,00
175,00,0000000000000000000000000000,00,00000000,00
176,00,0000000000000000000000001000,00,00100110,11
177,00,0000000000000000000000000000,00,00000000,00
178,00,0000000000000000000000001001,00,00100111,11
179,00,0000000000000000000000000000,00,00000000,00
180,00,0000000000000000000000000000,00,00000000,00
181,00,0000000000000000000000000000,00,00000000,00
182,00,0000000000000000000000000000,00,00000000,00
183,00,0000000000000000000000000000,00,00000000,00
184,00,0000000000000000000000000000,00,00000000,00
185,00,0000000000000000000000000000,00,00000000,00
186,00,0000000000000000000000000000,00,00000000,00
187,00,0000000000000000000000000000,00,00000000,00
188,00,0000000000000000000000000000,00,00000000,00
189,00,0000000000000000000000000000,00,00000000,00
190,00,0000000000000000000000000000,00,00000000,00
191,00,0000000000000000000000001010,00,00101110,11
192,00,0000000000000000000000000000,00,00000000,00
193,00,0000000000000000000000001011,00,00101111,11
194,00,0000000000000000000000000000,00,00000000,00
195,00,0000000000000000000000000000,00,00000000,00
196,00,0000000000000000000000000000,00,00000000,00
197,00,0000000000000000000000000000,00,00000000,00
198,00,0000000000000000000000000000,00,00000000,00
199,00,0000000000000000000000000000,00,00000000,00
200,00,0000000000000000000000000000,00,00000000,00
201,00,0000000000000000000000000000,00,00000000,00
202,00,0000000000000000000000000000,00,00000000,00
203,00,0000000000000000000000000000,00,00000000,00
204,00,0000000000000000000000000000,00,00000000,00
205,00,0000000000000000000000000000,00,00000000,00
206,00,0000000000000000000000000000,00,00000000,00
207,00,0000000000000000000000000000,00,00000000,00
208,00,0000000000000000000000001100,00,00110110,11
209,00,0000000000000000000000000000,00,00000000,00
210,00,0000000000000000000000001101,00,00110111,11
211,00,0000000000000000000000000000,00,00000000,00
212,00,0000000000000000000000000000,00,00000000,00
213,00,0000000000000000000000000000,00,00000000,00
214,00,0000000000000000000000000000,00,00000000,00
215,00,0000000000000000000000000000,00,00000000,00
216,00,0000000000000000000000000000,00,00000000,00
217,00,0000000000000000000000000000,00,00000000,00
218,00,0000000000000000000000000000,00,00000000,00
219,00,0000000000000000000000000000,00,00000000,00
220,00,0000000000000000000000000000,00,00000000,00
221,00,0000000000000000000000000000,00,00000000,00
222,00,0000000000000000000000000000,00,00000000,00
223,00,0000000000000000000000001110,00,00111110,11
224,00,0000000000000000000000000000,00,00000000,00
225,00,0000000000000000000000001111,00,00111111,11
226,00,0000000000000000000000000000,00,00000000,00
227,00,0000000000000000000000000000,00,00000000,00
228,00,0000000000000000000000000000,00,00000000,00
229,00,0000000000000000000000000000,00,00000000,00
230,00,0000000000000000000000000000,00,00000000,00
231,00,0000000000000000000000000000,00,00000000,00
232,00,0000000000000000000000000000,00,00000000,00
233,00,0000000000000000000000000000,00,00000000,00
234,00,0000000000000000000000000000,00,00000000,00
235,00,0000000000000000000000000000,00,00000000,00
236,00,0000000000000000000000000000,00,00000000,00
