t,borrow,dst,src,is_vector,rounds,optype
0,00,00000000,00000000,0,00000000,0000
1,00,00000000,00000000,0,00000000,0000
2,00,00000000,00000000,0,00000000,0000
3,00,00000000,00000000,0,00000000,0000
4,00,00000000,00000000,0,00000000,0000
5,00,00000000,00000000,0,00000000,0000
6,00,00000000,00000000,0,00000000,0000
7,00,00000000,00000000,0,00000000,0000
8,00,00000000,00000000,0,00000000,0000
9,00,00000000,00000000,0,00000000,0000
10,00,00000000,00000000,0,00000000,0000
11,00,00000000,00000000,0,00000000,0000
12,00,00000000,00000000,0,00000000,0000
13,00,00000000,00000000,0,00000000,0000
14,00,00000000,00000000,0,00000000,0000
15,00,00000000,00000000,0,00000000,0000
16,00,00000000,00000000,0,00000000,0000
17,00,00000000,00000000,0,00000000,0000
18,00,00000000,00000000,0,00000000,0000
19,00,00000000,00000000,0,00000000,0000
20,00,00000000,00000000,0,00000000,0000
21,00,00000000,00000000,0,00000000,0000
22,00,00000000,00000000,0,00000000,0000
23,00,00000000,00000000,0,00000000,0000
24,00,00000000,00000000,0,00000000,0000
25,01,00000011,00000010,1,00000110,0001
26,00,00000000,00000000,0,00000000,0000
27,00,00000000,00000000,0,00000000,0000
28,00,00000000,00000000,0,00000000,0000
29,00,00000000,00000000,0,00000000,0000
30,00,00000000,00000000,0,00000000,0000
31,01,00000101,00000100,1,00000110,0001
32,00,00000000,00000000,0,00000000,0000
33,00,00000000,00000000,0,00000000,0000
34,00,00000000,00000000,0,00000000,0000
35,00,00000000,00000000,0,00000000,0000
36,00,00000000,00000000,0,00000000,0000
37,01,00001011,00001010,1,00000110,0001
38,00,00000000,00000000,0,00000000,0000
39,00,00000000,00000000,0,00000000,0000
40,00,00000000,00000000,0,00000000,0000
41,00,00000000,00000000,0,00000000,0000
42,00,00000000,00000000,0,00000000,0000
43,01,00001101,00001100,1,00000110,0001
44,00,00000000,00000000,0,00000000,0000
45,00,00000000,00000000,0,00000000,0000
46,00,00000000,00000000,0,00000000,0000
47,00,00000000,00000000,0,00000000,0000
48,00,00000000,00000000,0,00000000,0000
49,01,00010011,00010010,1,00000110,0001
50,00,00000000,00000000,0,00000000,0000
51,00,00000000,00000000,0,00000000,0000
52,00,00000000,00000000,0,00000000,0000
53,00,00000000,00000000,0,00000000,0000
54,00,00000000,00000000,0,00000000,0000
55,01,00010101,00010100,1,00000110,0001
56,00,00000000,00000000,0,00000000,0000
57,00,00000000,00000000,0,00000000,0000
58,00,00000000,00000000,0,00000000,0000
59,00,00000000,00000000,0,00000000,0000
60,00,00000000,00000000,0,00000000,0000
61,01,00011011,00011010,1,00000110,0001
62,00,00000000,00000000,0,00000000,0000
63,00,00000000,00000000,0,00000000,0000
64,00,00000000,00000000,0,00000000,0000
65,00,00000000,00000000,0,00000000,0000
66,00,00000000,00000000,0,00000000,0000
67,01,00011101,00011100,1,00000110,0001
68,00,00000000,00000000,0,00000000,0000
69,00,00000000,00000000,0,00000000,0000
70,00,00000000,00000000,0,00000000,0000
71,00,00000000,00000000,0,00000000,0000
72,00,00000000,00000000,0,00000000,0000
73,01,00100011,00100010,1,00000110,0001
74,00,00000000,00000000,0,00000000,0000
75,00,00000000,00000000,0,00000000,0000
76,00,00000000,00000000,0,00000000,0000
77,00,00000000,00000000,0,00000000,0000
78,00,00000000,00000000,0,00000000,0000
79,01,00100101,00100100,1,00000110,0001
80,01,00000110,00000101,0,00000000,0011
81,00,00000000,00000000,0,00000000,0000
82,00,00000000,00000000,0,00000000,0000
83,00,00000000,00000000,0,00000000,0000
84,00,00000000,00000000,0,00000000,0000
85,01,00101011,00101010,1,00000110,0001
86,00,00000000,00000000,0,00000000,0000
87,00,00000000,00000000,0,00000000,0000
88,00,00000000,00000000,0,00000000,0000
89,00,00000000,00000000,0,00000000,0000
90,00,00000000,00000000,0,00000000,0000
91,01,00101101,00101100,1,00000110,0001
92,01,00001101,00001100,0,00000000,0011
93,00,00000000,00000000,0,00000000,0000
94,00,00000000,00000000,0,00000000,0000
95,00,00000000,00000000,0,00000000,0000
96,00,00000000,00000000,0,00000000,0000
97,01,00110011,00110010,1,00000110,0001
98,00,00000000,00000000,0,00000000,0000
99,00,00000000,00000000,0,00000000,0000
100,00,00000000,00000000,0,00000000,0000
101,00,00000000,00000000,0,00000000,0000
102,00,00000000,00000000,0,00000000,0000
103,01,00110101,00110100,1,00000110,0001
104,01,00010100,00010011,0,00000000,0011
105,00,00000000,00000000,0,00000000,0000
106,00,00000000,00000000,0,00000000,0000
107,00,00000000,00000000,0,00000000,0000
108,00,00000000,00000000,0,00000000,0000
109,01,00111011,00111010,1,00000110,0001
110,00,00000000,00000000,0,00000000,0000
111,00,00000000,00000000,0,00000000,0000
112,00,00000000,00000000,0,00000000,0000
113,00,00000000,00000000,0,00000000,0000
114,00,00000000,00000000,0,00000000,0000
115,01,00111101,00111100,1,00000110,0001
116,01,00011011,00011010,0,00000000,0011
117,00,00000000,00000000,0,00000000,0000
118,00,00000000,00000000,0,00000000,0000
119,00,00000000,00000000,0,00000000,0000
120,00,00000000,00000000,0,00000000,0000
121,01,01000011,01000010,1,00000110,0001
122,00,00000000,00000000,0,00000000,0000
123,00,00000000,00000000,0,00000000,0000
