cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
0,0x00000000003,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000c00000000000000000000000000000000000
1,0x00000001007,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000401c00000000000000000000000000000000000
2,0x0000000200b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000802c00000000000000000000000000000000000
3,0x0000000300f,0x00000000000,0x02000000c,0x00000000,0x00000000,0,0,0000000c03c00000000000800000300000000000000000
4,0x00000004013,0x00000000000,0x02020002c,0x00000000,0x00000000,0,0,0000001004c00000000000808000b00000000000000000
5,0x00000005017,0x00000000000,0x02040004c,0x00000000,0x00000000,0,0,0000001405c00000000000810001300000000000000000
6,0x0000000601b,0x00000000000,0x02060006c,0x00000000,0x00000000,0,0,0000001806c00000000000818001b00000000000000000
7,0x0000000701f,0x00000000000,0x02080008c,0x00000000,0x00000000,0,0,0000001c07c00000000000820002300000000000000000
8,0x00000008083,0x00000000000,0x020a000ac,0x00000000,0x00000000,0,0,0000002020c00000000000828002b00000000000000000
9,0x00000009087,0x00000000000,0x020c000cc,0x00000000,0x00000000,0,0,0000002421c00000000000830003300000000000000000
10,0x0000000a08b,0x00000000000,0x020e000ec,0x00000000,0x00000000,0,0,0000002822c00000000000838003b00000000000000000
11,0x0000000b08f,0x00000000000,0x023e0040c,0x01002004,0x00000000,0,0,0000002c23c000000000008f8010300801002000000000
12,0x0000000c093,0x00000000000,0x02400042c,0x00000000,0x00000000,0,0,0000003024c00000000000900010b00000000000000000
13,0x0000000d097,0x00000000000,0x000000000,0x01206044,0x00000000,0,0,0000003425c00000000000000000000903022000000000
14,0x0000000e09b,0x00000000000,0x02420044c,0x00000000,0x00000000,0,0,0000003826c00000000000908011300000000000000000
15,0x0000000f09f,0x00000000000,0x02460048c,0x0140a084,0x00000000,0,0,0000003c27c00000000000918012300a05042000000000
16,0x00000010103,0x00000000000,0x02440046c,0x00000000,0x00000000,0,0,0000004040c00000000000910011b00000000000000000
17,0x00000011107,0x00000000000,0x0248004ac,0x0160e0c4,0x00000000,0,0,0000004441c00000000000920012b00b07062000000000
18,0x0000001210b,0x00000000000,0x024a004cc,0x00000000,0x00000000,0,0,0000004842c00000000000928013300000000000000000
19,0x0000001310f,0x00000000000,0x024c004ec,0x04e403e4,0x00000000,0,0,0000004c43c00000000000930013b027201f2000000000
20,0x00000014113,0x00000000000,0x027c0080c,0x01812104,0x00000000,0,0,0000005044c000000000009f0020300c09082000000000
21,0x00000015117,0x00000000000,0x027e0082c,0x00000000,0x00000000,0,0,0000005445c000000000009f8020b00000000000000000
22,0x0000001611b,0x00000000000,0x02800084c,0x00000000,0x00000000,0,0,0000005846c00000000000a00021300000000000000000
23,0x0000001711f,0x00000000000,0x02820086c,0x05044424,0x00000000,0,0,0000005c47c00000000000a08021b02822212000000000
24,0x00000018183,0x00000000000,0x02840088c,0x01a16144,0x00000000,0,0,0000006060c00000000000a10022300d0b0a2000000000
25,0x00000019187,0x00000000000,0x0286008ac,0x05248464,0x00000000,0,0,0000006461c00000000000a18022b02924232000000000
26,0x0000001a18b,0x00000000000,0x0288008cc,0x0544c4a4,0x00000000,0,0,0000006862c00000000000a20023302a26252000000000
27,0x0000001b18f,0x00000000000,0x028a008ec,0x00000000,0x00000000,0,0,0000006c63c00000000000a28023b00000000000000000
28,0x0000001c193,0x00000000000,0x02ba00c0c,0x08c7e7c4,0x00000000,0,0,0000007064c00000000000ae803030463f3e2000000000
29,0x0000001d197,0x00000000000,0x02bc00c2c,0x00000000,0x00000000,0,0,0000007465c00000000000af0030b00000000000000000
30,0x0000001e19b,0x00000000000,0x02c000c6c,0x056504e4,0x00000000,0,0,0000007866c00000000000b00031b02b28272000000000
31,0x0000001f19f,0x00000000000,0x02be00c4c,0x01c1a184,0x00000000,0,0,0000007c67c00000000000af8031300e0d0c2000000000
32,0x00000020203,0x00000000000,0x02c200c8c,0x08e82804,0x00000000,0,0,0000008080c00000000000b08032304741402000000000
33,0x00000021207,0x00000000000,0x02c400cac,0x05854524,0x00000000,0,0,0000008481c00000000000b10032b02c2a292000000000
34,0x0000002220b,0x00000000000,0x02c600ccc,0x09086844,0x00000000,0,0,0000008882c00000000000b18033304843422000000000
35,0x0000002320f,0x00000000000,0x02c800cec,0x0928a884,0x00000000,0,0,0000008c83c00000000000b20033b04945442000000000
36,0x00000024213,0x00000000000,0x02f80100c,0x0cabcba4,0x00000000,0,0,0000009084c00000000000be004030655e5d2000000000
37,0x00000025217,0x00000000000,0x02fa0102c,0x00000000,0x00000000,0,0,0000009485c00000000000be8040b00000000000000000
38,0x0000002621b,0x00000000000,0x04101c003,0x0ccc0be4,0x00000000,0,0,0000009886c000000000010407000c66605f2000000000
39,0x0000002721f,0x00000000000,0x04141c023,0x00000000,0x00000000,0,0,0000009c87c000000000010507008c0000000000000000
40,0x00000028283,0x00000000000,0x04181c043,0x05a58564,0x00000000,0,0,000000a0a0c000000000010607010c2d2c2b2000000000
41,0x00000029287,0x00000000000,0x041c1c063,0x00000000,0x00000000,0,0,000000a4a1c000000000010707018c0000000000000000
42,0x0000002a28b,0x00000000000,0x04201c083,0x09692904,0x00000000,0,0,000000a8a2c000000000010807020c4b49482000000000
43,0x0000002b28f,0x00000000000,0x04241c0a3,0x0d0c8c64,0x00000000,0,0,000000aca3c000000000010907028c6864632000000000
44,0x0000002d297,0x00000000000,0x04281c0c3,0x108faf84,0x00000000,0,0,000000b4a5c000000000010a07030c847d7c2000000000
45,0x0000002c293,0x00000000000,0x042c1c0e3,0x00000000,0x21211061,0,0,000000b0a4c000000000010b07038c0000000212110610
46,0x0000002e29b,0x00000000000,0x02fe0106c,0x0948e8c4,0x00000000,0,0,000000b8a6c00000000000bf8041b04a47462000000000
47,0x0000002f29f,0x00000000000,0x04505a403,0x00000000,0x00000000,0,0,000000bca7c000000000011416900c0000000000000000
