cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
0,0x00000000003,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000c00000000000000000000000000000000000
1,0x00000001013,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000404c00000000000000000000000000000000000
2,0x00000002023,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000808c00000000000000000000000000000000000
3,0x00000003033,0x00000000000,0x000000000,0x00000000,0x40201041,0,0,0000000c0cc00000000000000000000000000402010410
4,0x00000004043,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000001010c00000000000000000000000000000000000
5,0x00000005053,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000001414c00000000000000000000000000000000000
6,0x00000006063,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000001818c00000000000000000000000000000000000
7,0x00000007073,0x00000000000,0x000000000,0x00000000,0x40a09041,0,0,0000001c1cc0000000000000000000000000040a090410
8,0x00000008083,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000002020c00000000000000000000000000000000000
9,0x00000009093,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000002424c00000000000000000000000000000000000
10,0x0000000a0a3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000002828c00000000000000000000000000000000000
11,0x0000000b0b3,0x00000000000,0x000000000,0x00000000,0x41211041,0,0,0000002c2cc00000000000000000000000000412110410
12,0x0000000c0c3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000003030c00000000000000000000000000000000000
13,0x0000000d0d3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000003434c00000000000000000000000000000000000
14,0x0000000e0e3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000003838c00000000000000000000000000000000000
15,0x0000000f0f3,0x00000000000,0x000000000,0x00000000,0x41a19041,0,0,0000003c3cc0000000000000000000000000041a190410
16,0x00000010103,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000004040c00000000000000000000000000000000000
17,0x00000011113,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000004444c00000000000000000000000000000000000
18,0x00000012123,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000004848c00000000000000000000000000000000000
