t,imm,connect,dst,src1,src0,mask,optype
0,0,0,00000000,00000000,00000000,0,0000
1,0,0,00000000,00000000,00000000,0,0000
2,0,0,00000000,00000000,00000000,0,0000
3,0,0,00000000,00000000,00000000,0,0000
4,0,0,00000000,00000000,00000000,0,0000
5,0,0,00000000,00000000,00000000,0,0000
6,0,0,00000000,00000000,00000000,0,0000
7,0,0,00000000,00000000,00000000,0,0000
8,0,0,00000000,00000000,00000000,0,0000
9,0,0,00000000,00000000,00000000,0,0000
10,0,0,00000000,00000000,00000000,0,0000
11,0,0,00000100,00000001,00000000,0,0100
12,0,0,00000000,00000000,00000000,0,0000
13,0,0,00000101,00000011,00000010,0,0100
14,0,0,00000000,00000000,00000000,0,0000
15,0,0,00010100,00010001,00010000,0,0100
16,0,0,00000000,00000000,00000000,0,0000
17,0,0,00010101,00010011,00010010,0,0100
18,0,0,00000000,00000000,00000000,0,0000
19,0,0,00000000,00000000,00000000,0,0000
20,0,0,00000110,00000101,00000100,0,0100
21,0,0,00100100,00100001,00100000,0,0100
22,0,0,00100101,00100011,00100010,0,0100
23,0,0,00000000,00000000,00000000,0,0000
24,0,0,00010110,00010101,00010100,0,0100
25,0,0,00110100,00110001,00110000,0,0100
26,0,0,00110101,00110011,00110010,0,0100
27,0,0,00000000,00000000,00000000,0,0000
28,0,0,01000100,01000001,01000000,0,0100
29,0,0,00100110,00100101,00100100,0,0100
30,0,0,00000000,00000000,00000000,0,0000
31,0,0,00000000,00000000,00000000,0,0000
32,0,0,01010100,01010001,01010000,0,0100
33,0,0,00110110,00110101,00110100,0,0100
34,0,0,00000000,00000000,00000000,0,0000
35,0,0,01000101,01000011,01000010,0,0100
36,0,0,00000000,00000000,00000000,0,0000
37,0,0,00000000,00000000,00000000,0,0000
38,0,0,00000000,00000000,00000000,0,0000
39,0,0,00000000,00000000,00000000,0,0000
40,0,0,00000000,00000000,00000000,0,0000
41,0,0,00000000,00000000,00000000,0,0000
42,0,0,01000110,01000101,01000100,0,0100
43,0,0,01010101,01010011,01010010,0,0100
44,0,0,00000000,00000000,00000000,0,0000
45,0,0,00000000,00000000,00000000,0,0000
46,0,0,00000000,00000000,00000000,0,0000
47,0,0,00000000,00000000,00000000,0,0000
48,0,0,00000000,00000000,00000000,0,0000
49,0,0,00000000,00000000,00000000,0,0000
50,0,0,01010110,01010101,01010100,0,0100
51,0,0,01100100,01100001,01100000,0,0100
52,0,0,01100101,01100011,01100010,0,0100
53,0,0,00000000,00000000,00000000,0,0000
54,0,0,01110100,01110001,01110000,0,0100
55,0,0,00000000,00000000,00000000,0,0000
56,0,0,01110101,01110011,01110010,0,0100
57,0,0,00000000,00000000,00000000,0,0000
58,0,0,00000000,00000000,00000000,0,0000
59,0,0,01100110,01100101,01100100,0,0100
60,0,0,10000100,10000001,10000000,0,0100
61,0,0,10000101,10000011,10000010,0,0100
62,0,0,10010100,10010001,10010000,0,0100
63,0,0,01110110,01110101,01110100,0,0100
64,0,0,10010101,10010011,10010010,0,0100
65,0,0,00000000,00000000,00000000,0,0000
66,0,0,10100100,10100001,10100000,0,0100
67,0,0,00000000,00000000,00000000,0,0000
68,0,0,10000110,10000101,10000100,0,0100
69,0,0,10100101,10100011,10100010,0,0100
70,0,0,00000000,00000000,00000000,0,0000
71,0,0,10010110,10010101,10010100,0,0100
72,0,0,10110100,10110001,10110000,0,0100
73,0,0,00000000,00000000,00000000,0,0000
74,0,0,00000000,00000000,00000000,0,0000
75,0,0,00000000,00000000,00000000,0,0000
76,0,0,10100110,10100101,10100100,0,0100
77,0,0,10110101,10110011,10110010,0,0100
78,0,0,00001011,00001000,00000111,0,0010
79,0,0,11000100,11000001,11000000,0,0100
80,0,0,11000101,11000011,11000010,0,0100
81,0,0,00000000,00000000,00000000,0,0000
82,0,0,00000000,00000000,00000000,0,0000
83,0,0,11010100,11010001,11010000,0,0100
84,0,0,10110110,10110101,10110100,0,0100
85,0,0,11010101,11010011,11010010,0,0100
86,0,0,00001100,00001010,00001001,0,0010
87,0,0,11000110,11000101,11000100,0,0100
88,0,0,11100100,11100001,11100000,0,0100
89,0,0,00000000,00000000,00000000,0,0000
90,0,0,00000000,00000000,00000000,0,0000
91,0,0,00000000,00000000,00000000,0,0000
92,0,0,11010110,11010101,11010100,0,0100
93,0,0,00001101,00001100,00001011,0,0010
94,0,0,00011011,00011000,00010111,0,0010
95,0,0,11100101,11100011,11100010,0,0100
96,0,0,11110100,11110001,11110000,0,0100
97,0,0,11110101,11110011,11110010,0,0100
98,0,0,00000000,00000000,00000000,0,0000
99,0,0,00000000,00000000,00000000,0,0000
100,0,0,00000000,00000000,00000000,0,0000
101,0,0,00000000,00000000,00000000,0,0000
102,0,0,00011100,00011010,00011001,0,0010
103,0,0,11100110,11100101,11100100,0,0100
104,0,0,11110110,11110101,11110100,0,0100
105,0,0,00000000,00000000,00000000,0,0000
106,0,0,00000000,00000000,00000000,0,0000
107,0,0,00000000,00000000,00000000,0,0000
108,0,0,00000000,00000000,00000000,0,0000
109,0,0,00011101,00011100,00011011,0,0010
110,0,0,00101011,00101000,00100111,0,0010
111,0,0,00000000,00000000,00000000,0,0000
112,0,0,00000000,00000000,00000000,0,0000
